frame,patient,mother,therapist
566,0.00117782,3.82105e-05,0.00478534
567,0.000509162,2.54737e-05,0.00469419
568,0.0003558,1.91052e-05,0.0034181
569,0.00134345,3.18421e-05,0.00287121
570,0.00138026,6.36841e-06,0.00227873
571,0.00169312,1.91052e-05,0.00332695
572,0.00153975,4.45789e-05,0.00369155
573,0.00119622,1.27368e-05,0.00391942
574,0.00179127,6.36841e-06,0.00387385
575,0.00132505,1.91052e-05,0.00423845
576,0.00136799,6.36841e-06,0.00255218
577,0.00433708,6.36841e-06,0.00287121
578,0.00927533,1.91052e-05,0.00460304
579,0.0142627,0,0.00364598
580,0.0183789,1.27368e-05,0.003965
581,0.0177593,1.27368e-05,0.00282563
582,0.0227712,1.91052e-05,0.00314465
583,0.0324207,6.36841e-06,0.00255218
584,0.0365492,5.73157e-05,0.00373713
585,0.0359787,0,0.00337253
586,0.0272003,1.27368e-05,0.00319023
587,0.0137964,1.27368e-05,0.0041473
588,0.0202315,1.91052e-05,0.00250661
589,0.0227282,1.91052e-05,0.00268891
590,0.016968,5.09473e-05,0.00505879
591,0.0066007,1.27368e-05,0.00446632
592,0.00434321,1.27368e-05,0.00373713
593,0.00631238,1.27368e-05,0.00264333
594,0.00496893,5.73157e-05,0.00382827
595,0.00216547,2.54737e-05,0.00287121
596,0.00311018,3.18421e-05,0.00346368
597,0.00319606,1.27368e-05,0.00369155
598,0.0028648,1.91052e-05,0.00369155
599,0.00542901,0,0.0036004
600,0.00636759,1.27368e-05,0.00278006
601,0.00852693,1.27368e-05,0.00246103
602,0.00849012,2.54737e-05,0.00451189
603,0.00617129,6.36841e-06,0.00460304
604,0.00315312,1.91052e-05,0.0037827
605,0.00354573,3.18421e-05,0.00401057
606,0.0062633,3.18421e-05,0.00223316
607,0.00626944,5.09473e-05,0.00309908
608,0.00396901,1.27368e-05,0.00401057
609,0.00379111,1.91052e-05,0.0032358
610,0.00412237,3.82105e-05,0.00492207
611,0.00309791,3.82105e-05,0.0043296
612,0.00435548,1.27368e-05,0.00291678
613,0.00765583,1.91052e-05,0.00268891
614,0.0120788,1.91052e-05,0.00405615
615,0.0109439,6.36841e-06,0.00346368
616,0.011539,0,0.0037827
617,0.0101955,1.27368e-05,0.0032358
618,0.0116248,3.18421e-05,0.00483092
619,0.0103427,6.36841e-06,0.00291678
620,0.0107353,1.91052e-05,0.00369155
621,0.0108028,6.36841e-06,0.0030535
622,0.00730617,2.54737e-05,0.0030535
623,0.0051775,1.27368e-05,0.00428402
624,0.00404262,1.91052e-05,0.00227873
625,0.00491985,3.18421e-05,0.00255218
626,0.00674793,1.91052e-05,0.00405615
627,0.0103243,1.91052e-05,0.00446632
628,0.0170661,1.27368e-05,0.0037827
629,0.0194524,0,0.00319023
630,0.0168944,6.36841e-06,0.00314465
631,0.0111157,1.91052e-05,0.00264333
632,0.0118764,3.82105e-05,0.00355483
633,0.0256176,3.82105e-05,0.00332695
634,0.033163,1.91052e-05,0.00282563
635,0.0344758,1.91052e-05,0.00332695
636,0.0343286,0,0.00350925
637,0.0311938,2.54737e-05,0.00236988
638,0.0260593,5.09473e-05,0.00446632
639,0.0186059,1.27368e-05,0.00492207
640,0.0130235,1.27368e-05,0.00382827
641,0.0102937,6.36841e-06,0.00282563
642,0.00936735,1.91052e-05,0.00300793
643,0.0108519,1.27368e-05,0.00287121
644,0.012269,1.91052e-05,0.00387385
645,0.014459,0,0.00337253
646,0.0135756,6.36841e-06,0.00373713
647,0.013091,0,0.00478534
648,0.0143363,0,0.00278006
649,0.0149681,3.18421e-05,0.00300793
650,0.0160233,0,0.0036004
651,0.0160049,6.36841e-06,0.00419287
652,0.01341,1.91052e-05,0.00428402
653,0.0110359,3.82105e-05,0.0037827
654,0.00884592,3.18421e-05,0.00460304
655,0.00804844,1.27368e-05,0.00273448
656,0.008895,6.36841e-06,0.0030535
657,0.00789508,0,0.00373713
658,0.00645347,1.27368e-05,0.00328138
659,0.00621423,0,0.00364598
660,0.009625,6.36841e-06,0.00236988
661,0.0133057,2.54737e-05,0.00259776
